,sleep,awake
0,0.1036734338458477,0.08937198067632833
1,0.012964148527528807,0.001915014750789284
2,0.03082658699305313,0.038789682539682485
3,0.07070389131262289,0.08031614023297494
4,0.09827809036457252,0.04975490196078436
5,0.046019156393521866,0.08724796224796232
6,0.08809265844702657,0.0009242492832352341
7,0.039506172839506144,0.002879000865051967
8,0.10144545880149815,0.049605567279670665
9,0.06259504384504386,0.025110502996212324
10,0.09971837197580648,0.001784928358354922
11,0.08301870748299321,0.044715447154471503
12,0.06999999999999998,0.058268348623853175
13,0.05001912338868822,0.043669724770642224
14,0.1471842744383728,0.1471842744383728
